Id,City,Total
3070112,UNINC - SILVERADO,0.00%
3070117,UNINC - SILVERADO,0.00%
3070118,UNINC - SILVERADO,0.00%
3071120,CITY OF TUSTIN,0.00%
3071231,CITY OF TUSTIN,0.00%
3071232,CITY OF TUSTIN,0.00%
3071247,CITY OF TUSTIN,0.00%
3071256,CITY OF TUSTIN,0.00%
3071258,CITY OF TUSTIN,0.00%
3071259,CITY OF TUSTIN,0.00%
3071266,CITY OF TUSTIN,0.00%
3071270,CITY OF TUSTIN,0.00%
3071283,CITY OF TUSTIN,0.00%
3071362,CITY OF TUSTIN,0.00%
3071364,CITY OF TUSTIN,0.00%
3071368,CITY OF TUSTIN,0.00%
3071380,CITY OF TUSTIN,0.00%
3072081,UNINC - EAST TUSTIN,0.00%
3072093,UNINC - EAST TUSTIN,0.00%
3072098,UNINC - EAST TUSTIN,0.00%
3072100,UNINC - EAST TUSTIN,0.00%
3072120,UNINC - EAST TUSTIN,0.00%
3072121,UNINC - EAST TUSTIN,0.00%
3072122,UNINC - EAST TUSTIN,0.00%
3072199,UNINC - EAST TUSTIN,0.00%
3072254,UNINC - EAST TUSTIN,0.00%
3072269,UNINC - EAST TUSTIN,0.00%
3072312,UNINC - EAST TUSTIN,0.00%
3072314,UNINC - EAST TUSTIN,0.00%
3072321,UNINC - EAST TUSTIN,0.00%
3075110,CITY OF VILLA PARK,0.00%
3075113,CITY OF VILLA PARK,0.00%
3075114,CITY OF VILLA PARK,0.00%
3075116,CITY OF VILLA PARK,0.00%
3075117,CITY OF VILLA PARK,0.00%
3075120,CITY OF VILLA PARK,0.00%
3075121,CITY OF VILLA PARK,0.00%
3075122,CITY OF VILLA PARK,0.00%
3002011,CITY OF ANAHEIM COUNCIL DISTRICT 6,0.00%
3002017,CITY OF ANAHEIM COUNCIL DISTRICT 6,0.00%
